05983801-n	lemma	شغل شاغل	شُغُل شَاغِل
05983801-n	lemma	شغل	شُغُل
14437386-n	lemma	شهرة	شُهْرَة
14438125-n	lemma	شهرة	شُهْرَة
13112664-n	lemma	شجيرة	شُجَيْرَة
12674120-n	lemma	شجيرة صريمة الجدي	شُجَيْرَة صَرِيمةُ الجَدْي 
07228971-n	lemma	شكر	شُكْر
05698982-n	lemma	شكوكية	شُكُوكِيَّة
00373130-n	lemma	شمول	شُمُول
00373130-n	lemma	شمولية	شُمُولِيَّة
08209687-n	lemma	شرطة	شُرْطَة
08211290-n	lemma	شرطة عسكرية	شُرْطَة عَسْكَرِيَّة
10448983-n	lemma	شرطي	شُرْطِي
00843128-n	lemma	شرب	شُرْب
07881800-n	lemma	شرب	شُرْب
02777734-n	lemma	شرفة	شُرْفَة
02811936-n	lemma	شرفة مفرجة	شُرْفَة مُفَرَّجَة
02811936-n	lemma	شرفة حصن	شُرْفَة حِصْن
05700625-n	lemma	شرود	شُرُود
05700625-n	lemma	شرود الذهن	شُرُود الذِّهْن
07601999-n	lemma	شوكولاتة	شُوكُولاتَة
07602279-n	lemma	شوكولاتة طبخ	شُوكُولاتَة طَبْخ
09945319-n	lemma	شيوعي	شُيُوعِيّ
06214744-n	lemma	شيوعية	شُيُوعِيَّة
08365855-n	lemma	شيوعية	شُيُوعِيَّة
08102555-n	lemma	شثعبة	شثعْبَة
04617289-n	lemma	شيء	شيء
09543353-n	lemma	شيطان	شيطان
09083390-n	lemma	شيكاغو	شيكاغو
01754876-n	lemma	ذات الأجراس	ذاتُ الأَجْراس 
00935987-v	lemma	ذاع	ذَاعَ
00975902-v	lemma	ذاع	ذَاعَ
00443984-v	lemma	ذاب	ذَابَ
00446329-v	lemma	ذاب	ذَابَ
05651399-n	lemma	ذاكرة	ذَاكِرَة
05760202-n	lemma	ذاكرة	ذَاكِرَة
